Country,ISO_CODE,Year,Pop,Conflict and Terrorism,Epidemics,Famine,Natural Disaster,Other Injuries
Eritrea,ERI,1980,1733416,10410,0,0,0,0
Eritrea,ERI,1981,1784561,10410,0,0,0,0
Eritrea,ERI,1982,1836823,10409,0,0,0,0
Eritrea,ERI,1983,1890558,10409,0,0,0,0
Eritrea,ERI,1984,1946305,10410,0,0,0,0
Eritrea,ERI,1985,2003937,10410,0,0,0,0
Eritrea,ERI,1986,2064794,10410,0,0,0,0
Eritrea,ERI,1987,2127422,10410,0,0,0,54
Eritrea,ERI,1988,2185605,10410,0,0,0,0
Eritrea,ERI,1989,2231141,6611,0,0,0,0
Eritrea,ERI,1990,2258653,30702,0,0,0,0
Eritrea,ERI,1991,2266358,6042,0,0,0,0
Eritrea,ERI,1992,2257596,0,0,0,0,0
Eritrea,ERI,1993,2238626,21,0,0,3,25
Eritrea,ERI,1994,2218430,0,0,0,0,0
Eritrea,ERI,1995,2204222,0,0,0,0,33
Eritrea,ERI,1996,2196464,20,0,0,0,72
Eritrea,ERI,1997,2195179,31,1,0,0,0
Eritrea,ERI,1998,2206432,113,0,0,0,0
Eritrea,ERI,1999,2237405,24082,0,0,0,0
Eritrea,ERI,2000,2292416,1812,0,0,0,0
Eritrea,ERI,2001,2374722,1,0,0,0,0
Eritrea,ERI,2002,2481058,2,0,0,0,0
Eritrea,ERI,2003,2600973,82,0,0,0,0
Eritrea,ERI,2004,2719803,57,0,0,0,0
Eritrea,ERI,2005,2826659,161,0,0,0,56
Eritrea,ERI,2006,2918205,2,0,0,0,0
Eritrea,ERI,2007,2996536,11,12,0,0,0
Eritrea,ERI,2008,3062779,224,0,0,0,0
Eritrea,ERI,2009,3119920,8,0,0,0,0
Eritrea,ERI,2010,3170435,87,0,0,0,0
Eritrea,ERI,2011,3213972,26,0,0,0,0
Eritrea,ERI,2012,3345951,0,0,0,0,0
Eritrea,ERI,2013,3401276,80,0,0,0,0
Eritrea,ERI,2014,3440567,10,0,0,0,0
Eritrea,ERI,2015,3460302,10,0,0,0,0
Eritrea,ERI,2016,3456718,25,0,0,0,0
Eritrea,ERI,2017,3425813,0,0,0,0,0
