Country,ISO_CODE,Year,Pop,Conflict and Terrorism,Epidemics,Famine,Natural Disaster,Other Injuries
Kuwait,KWT,1980,1368677,0,0,0,0,0
Kuwait,KWT,1981,1439331,2,0,0,0,0
Kuwait,KWT,1982,1507645,0,0,0,0,0
Kuwait,KWT,1983,1576968,1,0,0,0,0
Kuwait,KWT,1984,1652150,4,0,0,0,0
Kuwait,KWT,1985,1735274,11,0,0,0,0
Kuwait,KWT,1986,1832310,0,0,0,0,0
Kuwait,KWT,1987,1938909,1,0,0,0,0
Kuwait,KWT,1988,2034857,2,0,0,0,0
Kuwait,KWT,1989,2092777,0,0,0,0,0
Kuwait,KWT,1990,2095344,1329,0,0,0,0
Kuwait,KWT,1991,2031296,461,0,0,0,0
Kuwait,KWT,1992,1924947,2,0,0,0,0
Kuwait,KWT,1993,1818598,0,0,0,0,0
Kuwait,KWT,1994,1712249,0,0,0,0,0
Kuwait,KWT,1995,1605901,8,0,0,0,0
Kuwait,KWT,1996,1626857,15,0,0,0,0
Kuwait,KWT,1997,1710256,9,0,0,2,0
Kuwait,KWT,1998,1831119,8,0,0,0,0
Kuwait,KWT,1999,1951636,9,0,0,0,0
Kuwait,KWT,2000,2045123,7,0,0,0,0
Kuwait,KWT,2001,2103282,5,0,0,0,0
Kuwait,KWT,2002,2136997,6,0,0,0,0
Kuwait,KWT,2003,2161626,6,0,0,0,0
Kuwait,KWT,2004,2200492,9,0,0,0,0
Kuwait,KWT,2005,2270198,12,0,0,0,0
Kuwait,KWT,2006,2373672,18,0,0,0,0
Kuwait,KWT,2007,2504019,12,0,0,0,0
Kuwait,KWT,2008,2656009,1,0,0,0,0
Kuwait,KWT,2009,2821045,3,0,0,0,49
Kuwait,KWT,2010,2991884,0,0,0,0,0
Kuwait,KWT,2011,3168060,1,0,0,0,0
Kuwait,KWT,2012,3348853,0,0,0,0,0
Kuwait,KWT,2013,3526376,1,0,0,0,0
Kuwait,KWT,2014,3690941,1,0,0,0,0
Kuwait,KWT,2015,3835591,54,0,0,0,0
Kuwait,KWT,2016,3956875,1,0,0,0,0
Kuwait,KWT,2017,4056099,0,0,0,0,0
