Country,ISO_CODE,Year,Pop,Conflict and Terrorism,Epidemics,Famine,Natural Disaster,Other Injuries
Palestine,PSE,1980,1108627,31,0,0,0,0
Palestine,PSE,1981,1198403,6,0,0,0,0
Palestine,PSE,1982,1288179,20832,0,0,0,0
Palestine,PSE,1983,1377956,9,0,0,0,0
Palestine,PSE,1984,1467732,5,0,0,0,0
Palestine,PSE,1985,1557508,0,0,0,0,0
Palestine,PSE,1986,1647284,4,0,0,0,0
Palestine,PSE,1987,1737060,423,0,0,0,0
Palestine,PSE,1988,1826836,430,0,0,0,0
Palestine,PSE,1989,1916612,492,0,0,0,0
Palestine,PSE,1990,1978248,481,0,0,0,0
Palestine,PSE,1991,2068845,463,0,0,0,0
Palestine,PSE,1992,2163591,513,0,0,0,0
Palestine,PSE,1993,2262676,421,0,0,0,0
Palestine,PSE,1994,2366298,235,0,0,0,0
Palestine,PSE,1995,2474666,164,0,0,0,0
Palestine,PSE,1996,2587997,138,0,0,0,0
Palestine,PSE,1997,2706518,130,0,0,0,0
Palestine,PSE,1998,2776568,163,0,0,0,0
Palestine,PSE,1999,2848431,232,0,0,0,14
Palestine,PSE,2000,2922153,2330,0,0,0,0
Palestine,PSE,2001,2997784,3268,0,0,0,0
Palestine,PSE,2002,3075373,4390,0,0,0,0
Palestine,PSE,2003,3154969,3301,0,0,0,0
Palestine,PSE,2004,3236626,3759,0,0,0,0
Palestine,PSE,2005,3320396,2472,0,0,0,0
Palestine,PSE,2006,3406334,4928,0,0,0,0
Palestine,PSE,2007,3494496,2719,0,0,0,5
Palestine,PSE,2008,3591977,6432,0,0,0,0
Palestine,PSE,2009,3689099,6130,0,0,0,0
Palestine,PSE,2010,3786161,668,0,0,0,0
Palestine,PSE,2011,3882986,744,0,0,0,0
Palestine,PSE,2012,3979998,1124,0,0,0,0
Palestine,PSE,2013,4076708,40,0,0,6,0
Palestine,PSE,2014,4173398,911,0,0,0,0
Palestine,PSE,2015,4270092,277,0,0,4,0
Palestine,PSE,2016,4367088,199,0,0,0,0
Palestine,PSE,2017,4454805,128,0,0,0,0
