Country,ISO_CODE,Year,Pop,Conflict and Terrorism,Epidemics,Famine,Natural Disaster,Other Injuries
Serbia,SRB,1980,7593988,0,0,0,0,0
Serbia,SRB,1981,7606668,0,0,0,0,0
Serbia,SRB,1982,7617759,0,0,0,0,0
Serbia,SRB,1983,7627263,2,0,0,0,0
Serbia,SRB,1984,7635179,2,0,0,0,0
Serbia,SRB,1985,7641507,0,0,0,0,0
Serbia,SRB,1986,7646246,0,0,0,0,0
Serbia,SRB,1987,7649398,0,0,0,0,0
Serbia,SRB,1988,7650961,0,0,0,0,0
Serbia,SRB,1989,7650936,0,0,0,0,0
Serbia,SRB,1990,7586000,0,0,0,0,0
Serbia,SRB,1991,7595636,35,0,0,0,0
Serbia,SRB,1992,7646424,1,0,0,0,0
Serbia,SRB,1993,7699307,0,0,0,0,0
Serbia,SRB,1994,7734639,0,0,0,0,0
Serbia,SRB,1995,7625357,2,0,0,0,0
Serbia,SRB,1996,7617794,11,0,0,0,0
Serbia,SRB,1997,7596501,18,0,0,0,0
Serbia,SRB,1998,7567745,1503,0,0,1,0
Serbia,SRB,1999,7540401,9429,0,0,12,0
Serbia,SRB,2000,7516346,32,0,0,5,3
Serbia,SRB,2001,7503433,78,0,0,6,0
Serbia,SRB,2002,7496522,21,0,0,4,0
Serbia,SRB,2003,7480591,12,0,0,8,0
Serbia,SRB,2004,7463157,1,0,0,0,0
Serbia,SRB,2005,7440769,6,0,0,3,0
Serbia,SRB,2006,7411569,0,0,0,1,0
Serbia,SRB,2007,7381579,1,0,0,0,0
Serbia,SRB,2008,7350222,2,0,0,1,0
Serbia,SRB,2009,7320807,0,0,0,0,0
Serbia,SRB,2010,7291436,1,0,0,5,5
Serbia,SRB,2011,7234099,0,0,0,1,0
Serbia,SRB,2012,7199077,4,0,0,1,25
Serbia,SRB,2013,7164132,1,0,0,0,0
Serbia,SRB,2014,7130576,2,0,0,57,0
Serbia,SRB,2015,7095383,0,0,0,2,0
Serbia,SRB,2016,7058322,0,0,0,0,0
Serbia,SRB,2017,7020858,0,0,0,0,6
