"","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2005"," 2005"," 2005"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Afghanistan","1.2","0.5","1.9","1.2","0.6","1.9","1.4","0.8","2.1","1.5","0.9","2.2","1.7","1.2","2.2"
"Albania","0.4","0.5","0.4","0.4","0.5","0.4","0.5","0.6","0.4","0.6","0.7","0.5","1.0","1.3","0.7"
"Algeria","0.8","0.9","0.6","0.8","1.0","0.6","0.9","1.1","0.7","1.0","1.2","0.8","1.3","1.4","1.1"
"Angola","2.7","3.4","2.0","2.9","3.7","2.2","3.5","4.4","2.6","4.3","5.5","3.2","4.9","6.5","3.4"
"Antigua and Barbuda","0.4","0.3","0.4","0.4","0.3","0.4","0.5","0.4","0.5","0.5","0.4","0.6","0.5","0.5","0.5"
"Argentina","0.6","0.8","0.5","0.7","0.8","0.5","0.7","0.9","0.6","0.8","1.0","0.6","0.8","1.1","0.6"
"Armenia","0.6","0.9","0.4","0.7","1.0","0.4","0.7","1.0","0.4","0.8","1.1","0.5","0.9","1.4","0.5"
"Australia","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.3","0.2","0.2","0.3","0.2"
"Austria","0.2","0.3","0.2","0.2","0.3","0.2","0.3","0.4","0.2","0.2","0.3","0.2","0.3","0.4","0.2"
"Azerbaijan","0.6","0.8","0.3","0.6","0.8","0.3","0.8","1.2","0.4","0.8","1.1","0.5","1.0","1.5","0.6"
"Bahamas","0.1","0.2","0.1","0.1","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.2"
"Bahrain","0.2","0.3","0.1","0.2","0.3","0.1","0.2","0.3","0.1","0.3","0.4","0.2","0.5","0.6","0.3"
"Bangladesh","0.3","0.3","0.2","0.3","0.4","0.2","0.5","0.6","0.3","0.4","0.5","0.2","0.4","0.5","0.2"
"Barbados","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.2","0.3","0.4","0.2"
"Belarus","2.6","4.3","1.1","2.7","4.4","1.1","3.5","5.5","1.7","4.8","7.7","2.3","6.3","10.4","2.6"
"Belgium","0.2","0.3","0.2","0.2","0.3","0.2","0.3","0.3","0.2","0.3","0.3","0.2","0.4","0.5","0.3"
"Belize","0.5","0.7","0.3","0.5","0.7","0.3","0.6","0.7","0.4","0.7","0.9","0.5","1.0","1.3","0.7"
"Benin","3.5","4.3","2.7","3.6","4.4","2.8","3.6","4.5","2.7","3.3","4.2","2.5","3.6","4.6","2.6"
"Bhutan","0.6","0.7","0.5","0.6","0.7","0.5","0.7","0.9","0.6","1.0","1.2","0.8","1.4","1.8","1.1"
"Bolivia (Plurinational State of)","2.0","2.6","1.4","2.1","2.8","1.5","2.8","3.5","2.1","3.9","4.8","3.0","4.7","5.5","4.0"
"Bosnia and Herzegovina","0.5","0.6","0.4","0.5","0.6","0.4","0.7","0.9","0.5","0.9","1.1","0.6","1.2","1.7","0.7"
